league_name,name,starting_at,home_team_name,away_team_name,home_team_goals,away_team_goals
Premier League,Man United vs Bournemouth,3/1/2023,Man United,Bournemouth,3,0
Premier League,Southampton vs Nottingham,4/1/2023,Southampton,Nottingham,0,1
Premier League,Leeds vs West Ham,4/1/2023,Leeds,West Ham,2,2
Premier League,Aston Villa vs Wolves,4/1/2023,Aston Villa,Wolves,1,1
Premier League,Crystal Palace vs Tottenham,4/1/2023,Crystal Palace,Tottenham,0,4
Premier League,Chelsea vs Man City,5/1/2023,Chelsea,Man City,0,1
Premier League,Fulham vs Chelsea,12/1/2023,Fulham,Chelsea,2,1
Premier League,Aston Villa vs Leeds,13/01/2023,Aston Villa,Leeds,2,1
Premier League,Man United vs Man City,14/01/2023,Man United,Man City,2,1
Premier League,Brighton vs Liverpool,14/01/2023,Brighton,Liverpool,3,0
Premier League,Everton vs Southampton,14/01/2023,Everton,Southampton,1,2
Premier League,Nottingham vs Leicester,14/01/2023,Nottingham,Leicester,2,0
Premier League,Wolves vs West Ham,14/01/2023,Wolves,West Ham,1,0
Premier League,Brentford vs Bournemouth,14/01/2023,Brentford,Bournemouth,2,0
Premier League,Chelsea vs Crystal Palace,15/01/2023,Chelsea,Crystal Palace,1,0
Premier League,Newcastle vs Fulham,15/01/2023,Newcastle,Fulham,1,0
Premier League,Tottenham vs Arsenal,15/01/2023,Tottenham,Arsenal,0,2
Premier League,Crystal Palace vs Man United,18/01/2023,Crystal Palace,Man United,1,1
Premier League,Man City vs Tottenham,19/01/2023,Man City,Tottenham,4,2
Premier League,Liverpool vs Chelsea,21/01/2023,Liverpool,Chelsea,0,0
Premier League,Bournemouth vs Nottingham,21/01/2023,Bournemouth,Nottingham,1,1
Premier League,Leicester vs Brighton,21/01/2023,Leicester,Brighton,2,2
Premier League,Southampton vs Aston Villa,21/01/2023,Southampton,Aston Villa,0,1
Premier League,West Ham vs Everton,21/01/2023,West Ham,Everton,2,0
Premier League,Crystal Palace vs Newcastle,21/01/2023,Crystal Palace,Newcastle,0,0
Premier League,Leeds vs Brentford,22/01/2023,Leeds,Brentford,0,0
Premier League,Man City vs Wolves,22/01/2023,Man City,Wolves,3,0
Premier League,Arsenal vs Man United,22/01/2023,Arsenal,Man United,3,2
Premier League,Fulham vs Tottenham,23/01/2023,Fulham,Tottenham,0,1
Premier League,Chelsea vs Fulham,3/2/2023,Chelsea,Fulham,0,0
Premier League,Everton vs Arsenal,4/2/2023,Everton,Arsenal,1,0
Premier League,Aston Villa vs Leicester,4/2/2023,Aston Villa,Leicester,2,4
Premier League,Brentford vs Southampton,4/2/2023,Brentford,Southampton,3,0
Premier League,Brighton vs Bournemouth,4/2/2023,Brighton,Bournemouth,1,0
Premier League,Man United vs Crystal Palace,4/2/2023,Man United,Crystal Palace,2,1
Premier League,Wolves vs Liverpool,4/2/2023,Wolves,Liverpool,3,0
Premier League,Newcastle vs West Ham,4/2/2023,Newcastle,West Ham,1,1
Premier League,Nottingham vs Leeds,5/2/2023,Nottingham,Leeds,1,0
Premier League,Tottenham vs Man City,5/2/2023,Tottenham,Man City,1,0
Premier League,Man United vs Leeds,8/2/2023,Man United,Leeds,2,2
Premier League,West Ham vs Chelsea,11/2/2023,West Ham,Chelsea,1,1
Premier League,Arsenal vs Brentford,11/2/2023,Arsenal,Brentford,1,1
Premier League,Crystal Palace vs Brighton,11/2/2023,Crystal Palace,Brighton,1,1
Premier League,Fulham vs Nottingham,11/2/2023,Fulham,Nottingham,2,0
Premier League,Leicester vs Tottenham,11/2/2023,Leicester,Tottenham,4,1
Premier League,Southampton vs Wolves,11/2/2023,Southampton,Wolves,1,2
Premier League,Bournemouth vs Newcastle,11/2/2023,Bournemouth,Newcastle,1,1
Premier League,Leeds vs Man United,12/2/2023,Leeds,Man United,0,2
Premier League,Man City vs Aston Villa,12/2/2023,Man City,Aston Villa,3,1
Premier League,Liverpool vs Everton,13/02/2023,Liverpool,Everton,2,0
Premier League,Arsenal vs Man City,15/02/2023,Arsenal,Man City,1,3
Premier League,Aston Villa vs Arsenal,18/02/2023,Aston Villa,Arsenal,2,4
Premier League,Brentford vs Crystal Palace,18/02/2023,Brentford,Crystal Palace,1,1
Premier League,Brighton vs Fulham,18/02/2023,Brighton,Fulham,0,1
Premier League,Chelsea vs Southampton,18/02/2023,Chelsea,Southampton,0,1
Premier League,Everton vs Leeds,18/02/2023,Everton,Leeds,1,0
Premier League,Nottingham vs Man City,18/02/2023,Nottingham,Man City,1,1
Premier League,Wolves vs Bournemouth,18/02/2023,Wolves,Bournemouth,0,1
Premier League,Newcastle vs Liverpool,18/02/2023,Newcastle,Liverpool,0,2
Premier League,Man United vs Leicester,19/02/2023,Man United,Leicester,3,0
Premier League,Tottenham vs West Ham,19/02/2023,Tottenham,West Ham,2,0
